gru,0.748,0.5,0.744,0.744
gru attention,*0.923*,*0.856*,*0.922*,*0.922*
lstm,0.882,0.785,0.881,0.881
lstm bidirectional,0.912,0.833,0.911,0.911
transformer,0.875,0.766,0.873,0.873
