gru,0.765,0.511,0.762,0.762
gru attention,*0.926*,*0.858*,*0.925*,*0.925*
lstm,0.885,0.787,0.884,0.884
lstm bidirectional,0.915,0.834,0.914,0.914
transformer,0.88,0.77,0.878,0.878
