,test_loss,test_rouge1_fmeasure,test_rouge1_precision,test_rouge1_recall,test_rouge2_fmeasure,test_rouge2_precision,test_rouge2_recall,test_rougeL_fmeasure,test_rougeL_precision,test_rougeL_recall,test_rougeLsum_fmeasure,test_rougeLsum_precision,test_rougeLsum_recall,train_loss,train_rouge1_fmeasure,train_rouge1_precision,train_rouge1_recall,train_rouge2_fmeasure,train_rouge2_precision,train_rouge2_recall,train_rougeL_fmeasure,train_rougeL_precision,train_rougeL_recall,train_rougeLsum_fmeasure,train_rougeLsum_precision,train_rougeLsum_recall,valid_loss,valid_rouge1_fmeasure,valid_rouge1_precision,valid_rouge1_recall,valid_rouge2_fmeasure,valid_rouge2_precision,valid_rouge2_recall,valid_rougeL_fmeasure,valid_rougeL_precision,valid_rougeL_recall,valid_rougeLsum_fmeasure,valid_rougeLsum_precision,valid_rougeLsum_recall
transformer _b10_lr01,1.6962005198001862,0.6371986269950867,0.6853392720222473,0.6032817363739014,0.4248752892017365,0.4660449922084808,0.399183064699173,0.6333628296852112,0.6811148524284363,0.5997298359870911,0.6334549784660339,0.6812256574630737,0.5998092293739319,1.2945644010043311,0.68182772397995,0.7301415205001831,0.6457327008247375,0.4721320271492005,0.5153749585151672,0.4431414008140564,0.6774149537086487,0.7254050970077515,0.6415740251541138,0.6774782538414001,0.7254763245582581,0.6416311264038086,1.7475127190351487,0.6316773891448975,0.6796777844429016,0.5984054803848267,0.41611596941947937,0.4563838541507721,0.3908702135086059,0.6276872754096985,0.6753841638565063,0.5946437120437622,0.6276872754096985,0.6753841638565063,0.5946437120437622
transformer_b1_lr01,1.7747536434945743,0.6964606046676636,0.7102426290512085,0.6891582012176514,0.4992527663707733,0.5091618299484253,0.4950308799743652,0.694182813167572,0.7078784704208374,0.6869285702705383,0.6942800879478455,0.7080057263374329,0.6870079040527344,0.638956029054799,0.8424429297447205,0.8517972230911255,0.8366307020187378,0.6979796290397644,0.705737292766571,0.6938621997833252,0.8401025533676147,0.8493409156799316,0.8343751430511475,0.8401290774345398,0.849371612071991,0.8343988656997681,1.7982465479011398,0.6921249032020569,0.7077136635780334,0.6835018992424011,0.4875640273094177,0.4993804395198822,0.4818910658359528,0.6881479620933533,0.7035889029502869,0.6796156764030457,0.6881479620933533,0.7035889029502869,0.6796156764030457
transformer_b10_lr1,1.4675422278435335,0.7166319489479065,0.7314160466194153,0.7093765139579773,0.5295218229293823,0.5399398803710938,0.5256475806236267,0.7133821845054626,0.7279157638549805,0.706295907497406,0.7133821845054626,0.7279157638549805,0.706295907497406,0.4473710745548656,0.8800667524337769,0.8884454965591431,0.875005304813385,0.7701375484466553,0.7779003381729126,0.7660902142524719,0.8783197999000549,0.8866169452667236,0.8733195662498474,0.8783368468284607,0.8866325616836548,0.8733380436897278,1.5352317011874654,0.7096522450447083,0.7258957624435425,0.7014614939689636,0.5190348029136658,0.5305480360984802,0.5145010352134705,0.7059059143066406,0.7218677997589111,0.6979135870933533,0.7059059143066406,0.7218677997589111,0.6979135870933533
gru_attention,2.0315235463414485,0.7253835201263428,0.7357282638549805,0.7198960781097412,0.565323531627655,0.5735748410224915,0.5616321563720703,0.7234603762626648,0.7336735129356384,0.7180570363998413,0.7234902381896973,0.733697772026062,0.7180916666984558,0.3931175574624368,0.9258993268013,0.9301167130470276,0.9232527017593384,0.8575750589370728,0.8612616658210754,0.855553150177002,0.9248961806297302,0.9290834069252014,0.9222713708877563,0.9248921275138856,0.929078996181488,0.9222675561904908,2.1010275723155947,0.7132382392883301,0.723142683506012,0.7085936665534973,0.5528742671012878,0.559878408908844,0.5505257844924927,0.7120510935783386,0.7219378352165222,0.707415759563446,0.7119550108909607,0.721835732460022,0.7073248624801636
bidirectional_lstm,2.009778551607866,0.7089504599571228,0.7217370867729187,0.7015724778175354,0.5413140654563904,0.5510339736938477,0.5365558862686157,0.7066189050674438,0.7193371057510376,0.6992737650871277,0.7065703272819519,0.7192886471748352,0.6992252469062805,0.36899745780093807,0.9146267771720886,0.9190411567687988,0.9120293259620668,0.8344472050666809,0.8383562564849854,0.8325391411781311,0.9138401746749878,0.9182294607162476,0.9112608432769777,0.9138306975364684,0.9182204008102416,0.9112509489059448,2.050104133284556,0.6961115002632141,0.7067930102348328,0.6907870173454285,0.5292195081710815,0.5371392369270325,0.5263069272041321,0.694835901260376,0.7054754495620728,0.6895379424095154,0.6947813034057617,0.7054209113121033,0.6894834041595459
lstm,1.9607457227916312,0.700505256652832,0.7108401656150818,0.6954114437103271,0.5381884574890137,0.5464143753051758,0.5349314212799072,0.6975398659706116,0.7077471017837524,0.6924970149993896,0.6976320743560791,0.7078344821929932,0.6925922632217407,0.5191171872340324,0.8852297067642212,0.8903314471244812,0.8822250366210938,0.7873388528823853,0.791525661945343,0.7852854132652283,0.8841042518615723,0.8891711235046387,0.8811227679252625,0.8840898871421814,0.8891524076461792,0.881111741065979,1.9739561993443269,0.6943091750144958,0.705223023891449,0.6890048980712891,0.5319193601608276,0.5403720736503601,0.5286654829978943,0.6927340030670166,0.7035897374153137,0.6874692440032959,0.6927340030670166,0.7035897374153137,0.6874692440032959
gru,2.036516922158167,0.7083060145378113,0.7323002219200134,0.6913343667984009,0.42287731170654297,0.4372689127922058,0.4131339490413666,0.7051398754119873,0.7288908362388611,0.6883406639099121,0.7051835060119629,0.7289453744888306,0.6883770823478699,1.4670027816739812,0.7653621435165405,0.7880167365074158,0.7475241422653198,0.5108417272567749,0.5254020690917969,0.499817967414856,0.7618739008903503,0.7843409776687622,0.7441869378089905,0.7619780898094177,0.7844523191452026,0.7442856431007385,2.054752522013636,0.7033231854438782,0.7276933789253235,0.6863284707069397,0.41759011149406433,0.4324880242347718,0.407580703496933,0.7000043988227844,0.7241871356964111,0.6831437349319458,0.7001333832740784,0.7243150472640991,0.6832743883132935
